"","time","P","V","Pv","I","gamma_out","lambda_out"
"3230",22.6,0.000118573937653358,4.45984327174772e-07,1.4366282796932e-13,2.52043851523496e-17,1e-06,0.025
"3231",22.7,0.00011392458721926,4.28499898782488e-07,1.32618430740908e-13,2.32667423723795e-17,1e-06,0.025
"3232",22.8,0.000109457540413906,4.11700829077156e-07,1.22423064067962e-13,2.14780545684442e-17,1e-06,0.025
"3233",22.9,0.000105165649010362,3.95560260958433e-07,1.13011462843305e-13,1.98268715490257e-17,1e-06,0.025
"3234",23,0.000101042045067642,3.80052389191319e-07,1.04323378380511e-13,1.8302623209692e-17,1e-06,0.025
"3235",23.1,9.70801299405374e-05,3.65152419253249e-07,9.63031931226474e-14,1.68955519371285e-17,1e-06,0.025
"3236",23.2,9.3273563720386e-05,3.50836527787978e-07,8.88995646899924e-14,1.55966501604254e-17,1e-06,0.025
"3237",23.3,8.96162550898669e-05,3.37081824603747e-07,8.20650971454523e-14,1.43976026774704e-17,1e-06,0.025
"3238",23.4,8.6102351575597e-05,3.23866316155653e-07,7.57560376485667e-14,1.3290733435549e-17,1e-06,0.025
"3239",23.5,8.27262301829295e-05,3.11168870454483e-07,6.993199653614e-14,1.22689564219463e-17,1e-06,0.025
"3240",23.6,7.94824883979646e-05,2.98969183346466e-07,6.45556888683361e-14,1.13257303204731e-17,1e-06,0.025
"3241",23.7,7.63659355423787e-05,2.87247746110579e-07,5.95926957551238e-14,1.045501663828e-17,1e-06,0.025
"3242",23.8,7.33715844672341e-05,2.75985814322086e-07,5.50112440310294e-14,9.6512410517212e-18,1e-06,0.025
"3243",23.9,7.04946435724785e-05,2.65165377932985e-07,5.07820029132325e-14,8.90925773179879e-18,1e-06,0.025
"3244",24,6.7730509139366e-05,2.54769132521949e-07,4.68778962969601e-14,8.22431641303402e-18,1e-06,0.025
"3245",24.1,6.50747579635265e-05,2.44780451668163e-07,4.32739293921374e-14,7.59203197839007e-18,1e-06,0.025
"3246",24.2,6.25231402768971e-05,2.35183360405272e-07,3.99470287246776e-14,7.00835638889013e-18,1e-06,0.025
"3247",24.3,6.00715729471888e-05,2.259625097133e-07,3.68758948693223e-14,6.46955284686208e-18,1e-06,0.025
"3248",24.4,5.77161329440046e-05,2.17103152008061e-07,3.40408655544067e-14,5.972171778969e-18,1e-06,0.025
"3249",24.5,5.54530510611566e-05,2.08591117589169e-07,3.14237898406612e-14,5.51302876182937e-18,1e-06,0.025
"3250",24.6,5.32787058851324e-05,2.00412792009227e-07,2.90079121241648e-14,5.08918417147223e-18,1e-06,0.025
"3251",24.7,5.11896180000631e-05,1.92555094328255e-07,2.6777764963097e-14,4.69792438067334e-18,1e-06,0.025
"3252",24.8,4.91824444199164e-05,1.8500545621881e-07,2.47190699773934e-14,4.33674437268534e-18,1e-06,0.025
"3253",24.9,4.72539732390069e-05,1.77751801888582e-07,2.28186463734476e-14,4.00333169269144e-18,1e-06,0.025
"3254",25,4.54011184922632e-05,1.70782528788554e-07,2.10643266005545e-14,3.69555165046833e-18,1e-06,0.025
"3255",25.1,4.36209152170261e-05,1.64086489076049e-07,1.94448785125649e-14,3.41143366433152e-18,1e-06,0.025
"3256",25.2,4.19105147084771e-05,1.57652971803181e-07,1.79499334582773e-14,3.14915864522418e-18,1e-06,0.025
"3257",25.3,4.02671799611035e-05,1.51471685802371e-07,1.65699198718014e-14,2.90704734572703e-18,1e-06,0.025
"3258",25.4,3.86882812889066e-05,1.45532743241706e-07,1.52960019932542e-14,2.68354960914095e-18,1e-06,0.025
"3259",25.5,3.7171292117344e-05,1.39826643823955e-07,1.41200233231705e-14,2.47723444905895e-18,1e-06,0.025
"3260",25.6,3.57137849402716e-05,1.34344259604099e-07,1.30344544141156e-14,2.28678088986212e-18,1e-06,0.025
"3261",25.7,3.43134274354171e-05,1.29076820401202e-07,1.20323446588794e-14,2.11096950838017e-18,1e-06,0.025
"3262",25.8,3.2967978732167e-05,1.24015899781381e-07,1.11072777858568e-14,1.94867462594546e-18,1e-06,0.025
"3263",25.9,3.16752858256962e-05,1.19153401589566e-07,1.02533307857622e-14,1.79885710244481e-18,1e-06,0.025
"3264",26,3.04332801317016e-05,1.1448154700858e-07,9.46503599761215e-15,1.66055768463735e-18,1e-06,0.025
"3265",26.1,2.92399741762262e-05,1.0999286212493e-07,8.73734609202324e-15,1.53289086278158e-18,1e-06,0.025
"3266",26.2,2.80934584152775e-05,1.05680165981486e-07,8.06560175449143e-15,1.41503920094782e-18,1e-06,0.025
"3267",26.3,2.699189817915e-05,1.01536559098013e-07,7.44550194079304e-15,1.3062481185844e-18,1e-06,0.025
"3268",26.4,2.59335307365624e-05,9.75554124412559e-08,6.87307622743526e-15,1.20582103966662e-18,1e-06,0.025
"3269",26.5,2.49166624739125e-05,9.37303568269899e-08,6.34465939931956e-15,1.11311493429407e-18,1e-06,0.025
"3270",26.6,2.39396661851339e-05,9.00552727371384e-08,5.85686802197383e-15,1.02753620851838e-18,1e-06,0.025
"3271",26.7,2.30009784678196e-05,8.65242805357232e-08,5.40657879617886e-15,9.48536906840641e-19,1e-06,0.025
"3272",26.8,2.20990972214452e-05,8.31317310680373e-08,4.99090854326203e-15,8.75611200810078e-19,1e-06,0.025
"3273",26.9,2.12325792436875e-05,7.98721966280481e-08,4.60719573060976e-15,8.08292147835684e-19,1e-06,0.025
"3274",27,2.04000379209933e-05,7.67404622796213e-08,4.25298343775021e-15,7.46148702734853e-19,1e-06,0.025
"3275",27.1,1.96001410097022e-05,7.37315175177156e-08,3.92600363640729e-15,6.88782959806814e-19,1e-06,0.025
"3276",27.2,1.88316085041728e-05,7.08405482562461e-08,3.62416266804622e-15,6.35827604995137e-19,1e-06,0.025
"3277",27.3,1.80932105885008e-05,6.80629291298275e-08,3.3455278322979e-15,5.86943562944031e-19,1e-06,0.025
"3278",27.4,1.7383765668551e-05,6.53942160971113e-08,3.08831501160079e-15,5.41817825850111e-19,1e-06,0.025
"3279",27.5,1.67021384811554e-05,6.28301393339127e-08,2.85087725193649e-15,5.00161450052551e-19,1e-06,0.025
"3280",27.6,1.60472382774497e-05,6.03665964047784e-08,2.63169421955218e-15,4.61707706307409e-19,1e-06,0.025
"3281",27.7,1.54180170774427e-05,5.79996457020988e-08,2.42936246486128e-15,4.26210371674201e-19,1e-06,0.025
"3282",27.8,1.48134679929694e-05,5.57255001420767e-08,2.24258643477558e-15,3.93442152708241e-19,1e-06,0.025
"3283",27.9,1.42326236084565e-05,5.35405210778257e-08,2.07017017100802e-15,3.63193228999861e-19,1e-06,0.025
"3284",28,1.36745543742292e-05,5.14412122594775e-08,1.91100935104605e-15,3.35269856832754e-19,1e-06,0.025
"3285",28.1,1.31383672234152e-05,4.94242146346607e-08,1.7640848311239e-15,3.09493236351371e-19,1e-06,0.025
"3286",28.2,1.26232042004222e-05,4.74863011923534e-08,1.6284563867337e-15,2.85698413398523e-19,1e-06,0.025
"3287",28.3,1.21282409858494e-05,4.56243714172956e-08,1.50325566903588e-15,2.63733043805722e-19,1e-06,0.025
"3288",28.4,1.16526866719809e-05,4.38354504474146e-08,1.38768251249101e-15,2.43456745539393e-19,1e-06,0.025
"3289",28.5,1.11957823107129e-05,4.21166836140972e-08,1.28099977462767e-15,2.24740193415676e-19,1e-06,0.025
"3290",28.6,1.07567957445506e-05,4.04653170040329e-08,1.18252125348083e-15,2.07462999291572e-19,1e-06,0.025
"3291",28.7,1.03350186096545e-05,3.88786861867094e-08,1.09160871363528e-15,1.9151319034775e-19,1e-06,0.025
"3292",28.8,9.92970002182571e-06,3.73539667789159e-08,1.00763019868786e-15,1.76779894695991e-19,1e-06,0.025
"3293",28.9,9.54018878204032e-06,3.58887093412527e-08,9.30068645699009e-16,1.63172398130302e-19,1e-06,0.025
"3294",29,9.16509780959511e-06,3.44776962498279e-08,8.58164100049298e-16,1.50557374231375e-19,1e-06,0.025
"3295",29.1,8.81259404813001e-06,3.31516491210377e-08,7.94301027087565e-16,1.39353169721244e-19,1e-06,0.025
"3296",29.2,8.47364812361136e-06,3.18766024898637e-08,7.34845105577818e-16,1.2892215967032e-19,1e-06,0.025
"3297",29.3,8.14773858077436e-06,3.06505948940975e-08,6.79681256090533e-16,1.19244149046675e-19,1e-06,0.025
"3298",29.4,7.83436402032574e-06,2.94717403054879e-08,6.28580842295834e-16,1.10279029664806e-19,1e-06,0.025
"3299",29.5,7.53304232756033e-06,2.83382252289159e-08,5.8128494683535e-16,1.01981378311399e-19,1e-06,0.025
"3300",29.6,7.2433099306461e-06,2.72483059131233e-08,5.37530421269522e-16,9.43050286753209e-20,1e-06,0.025
"3301",29.7,6.96472108743676e-06,2.62003056686879e-08,4.97062086687773e-16,8.72052122342959e-20,1e-06,0.025
"3302",29.8,6.6968471997146e-06,2.51926122891222e-08,4.59638072550373e-16,8.06394951060476e-20,1e-06,0.025
"3303",29.9,6.43927615380859e-06,2.4223675571131e-08,4.25031782444854e-16,7.45681230220484e-20,1e-06,0.025
"3304",30,6.19161168657341e-06,2.32920049302179e-08,3.93032226559991e-16,6.89540797066288e-20,1e-06,0.025
"3305",30.1,5.95347277575384e-06,2.23961671079736e-08,3.63443586671853e-16,6.37630105822877e-20,1e-06,0.025
"3306",30.2,5.72449305379668e-06,2.15347839675223e-08,3.3608444278669e-16,5.89630871032792e-20,1e-06,0.025
"3307",30.3,5.50432024420838e-06,2.07065303737379e-08,3.10786872565767e-16,5.45248487637191e-20,1e-06,0.025
"3308",30.4,5.29261561959118e-06,1.99101321549694e-08,2.87395525918714e-16,5.04210407461361e-20,1e-06,0.025
"3309",30.5,5.08905348052413e-06,1.91443641431437e-08,2.65766723027829e-16,4.66264556792333e-20,1e-06,0.025
"3310",30.6,4.89332065448695e-06,1.84080482892322e-08,2.45767597227536e-16,4.31177832643246e-20,1e-06,0.025
"3311",30.7,4.70511601405626e-06,1.77000518511826e-08,2.27275290949764e-16,3.98734692113389e-20,1e-06,0.025
"3312",30.8,4.52415001363262e-06,1.70192856515319e-08,2.10176206528611e-16,3.68735837992151e-20,1e-06,0.025
"3313",30.9,4.35014424398567e-06,1.63647024020202e-08,1.94365310623778e-16,3.40996998431462e-20,1e-06,0.025
"3314",31,4.18283100393238e-06,1.57352950926295e-08,1.79745489666675e-16,3.15347796132601e-20,1e-06,0.025
"3315",31.1,4.02195288848936e-06,1.51300954429298e-08,1.66038621149022e-16,2.91300352059019e-20,1e-06,0.025
"3316",31.2,3.86726239286415e-06,1.45481724116951e-08,1.53357877276786e-16,2.69053093744691e-20,1e-06,0.025
"3317",31.3,3.71852153167947e-06,1.39886307653392e-08,1.41719450204738e-16,2.48634458331499e-20,1e-06,0.025
"3318",31.4,3.57550147284201e-06,1.34506097009928e-08,1.310015520324e-16,2.2983082507758e-20,1e-06,0.025
"3319",31.5,3.43798218549275e-06,1.29332815221647e-08,1.21113174176828e-16,2.12482520169879e-20,1e-06,0.025
"3320",31.6,3.30575210149795e-06,1.24358503655228e-08,1.11980967875064e-16,1.96460855996483e-20,1e-06,0.025
"3321",31.7,3.17860778995977e-06,1.19575509766374e-08,1.03542513834418e-16,1.81656321546764e-20,1e-06,0.025
"3322",31.8,3.05635364424562e-06,1.14976475328053e-08,9.57427990025656e-17,1.67972400312507e-20,1e-06,0.025
"3323",31.9,2.93880158105491e-06,1.1055432511142e-08,8.85323086589924e-17,1.55322222579121e-20,1e-06,0.025
"3324",32,2.82577075106011e-06,1.06302256002041e-08,8.1865937122226e-17,1.4362665413169e-20,1e-06,0.025
"3325",32.1,2.71708726067704e-06,1.02213726534663e-08,7.57023179341403e-17,1.32813121009342e-20,1e-06,0.025
"3326",32.2,2.61258390453629e-06,9.828244683044e-09,7.00033732050393e-17,1.22814818814298e-20,1e-06,0.025
"3327",32.3,2.51209990824417e-06,9.45023689211450e-09,6.4733981260688e-17,1.13570129599451e-20,1e-06,0.025
"3328",32.4,2.41548068103748e-06,9.08676774454805e-09,5.98617115089844e-17,1.05022156700997e-20,1e-06,0.025
"3329",32.5,2.32257757795161e-06,8.73727807031827e-09,5.53566003789473e-17,9.7118331635882e-21,1e-06,0.025
"3330",32.6,2.23324767113594e-06,8.40123020531619e-09,5.11909546966651e-17,8.98100691385199e-21,1e-06,0.025
"3331",32.7,2.14735352996487e-06,8.07810716424468e-09,4.7339175160555e-17,8.30524574617493e-21,1e-06,0.025
"3332",32.8,2.06476300960608e-06,7.76741184532142e-09,4.37775957660687e-17,7.68039766605874e-21,1e-06,0.025
"3333",32.9,1.9853490477208e-06,7.46866626556719e-09,4.04843366599907e-17,7.10262404374689e-21,1e-06,0.025
"3334",33,1.90898946898324e-06,7.18141082550325e-09,3.74391687529679e-17,6.56837586165003e-21,1e-06,0.025
"3335",33.1,1.83556679711791e-06,6.90520360219743e-09,3.45841608837754e-17,6.06749090766225e-21,1e-06,0.025
"3336",33.2,1.76496807416867e-06,6.63961966924665e-09,3.194288560404e-17,5.60410221356971e-21,1e-06,0.025
"3337",33.3,1.69708468671615e-06,6.38425044320748e-09,2.95187154704121e-17,5.17880207778252e-21,1e-06,0.025
"3338",33.4,1.63181219877981e-06,6.13870305508162e-09,2.72862830209005e-17,4.78714094822382e-21,1e-06,0.025
"3339",33.5,1.5690501911476e-06,5.90259974590109e-09,2.52266319102979e-17,4.42579294965863e-21,1e-06,0.025
"3340",33.6,1.50870210688482e-06,5.67557728559622e-09,2.33244842086539e-17,4.09207762744595e-21,1e-06,0.025
"3341",33.7,1.45067510278505e-06,5.4572864142131e-09,2.15668385154312e-17,3.78371396164575e-21,1e-06,0.025
"3342",33.8,1.3948799065344e-06,5.24739130462115e-09,1.99422360947612e-17,3.49869159811829e-21,1e-06,0.025
"3343",33.9,1.34123067936951e-06,5.04556904588437e-09,1.84403634710999e-17,3.23520111803276e-21,1e-06,0.025
"3344",34,1.2896448840179e-06,4.85150914650157e-09,1.70518255369835e-17,2.99159422691928e-21,1e-06,0.025
"3345",34.1,1.24004315771759e-06,4.66491305675157e-09,1.57680060350189e-17,2.76635927510989e-21,1e-06,0.025
"3346",34.2,1.1923491901205e-06,4.48549370940852e-09,1.45809736895967e-17,2.55810478819514e-21,1e-06,0.025
"3347",34.3,1.14648960589194e-06,4.31297507812102e-09,1.34834129801155e-17,2.36554732120464e-21,1e-06,0.025
"3348",34.4,1.10239385182549e-06,4.14709175277567e-09,1.24685689156213e-17,2.1875017695059e-21,1e-06,0.025
"3349",34.5,1.05999408829954e-06,3.98758853119176e-09,1.1530200364546e-17,2.02287318076734e-21,1e-06,0.025
"3350",34.6,1.01922508490876e-06,3.83422002651941e-09,1.06625390993921e-17,1.8706495696317e-21,1e-06,0.025
"3351",34.7,9.80024120109496e-07,3.68675028973676e-09,9.86025302797679e-18,1.72989546692146e-21,1e-06,0.025
"3352",34.8,9.423308847252e-07,3.54495244666589e-09,9.11841274684414e-18,1.59974605170801e-21,1e-06,0.025
"3353",34.9,9.06087389163018e-07,3.40860834894899e-09,8.43246089197515e-18,1.47940177415146e-21,1e-06,0.025
"3354",35,8.71237874199045e-07,3.27750823844781e-09,7.79818393865983e-18,1.36812340802919e-21,1e-06,0.025
"3355",35.1,8.37728725195266e-07,3.15145042456667e-09,7.2035153874457e-18,1.26379426304496e-21,1e-06,0.025
"3356",35.2,8.0550838961458e-07,3.03024097392728e-09,6.65336517323519e-18,1.16727520981398e-21,1e-06,0.025
"3357",35.3,7.74527297709787e-07,2.91369341204701e-09,6.14843576761836e-18,1.078689618482e-21,1e-06,0.025
"3358",35.4,7.4473778626261e-07,2.80162843647208e-09,5.68344337526675e-18,9.97110690676964e-22,1e-06,0.025
"3359",35.5,7.16094025255466e-07,2.6938736409271e-09,5.25443957501857e-18,9.21845679141084e-22,1e-06,0.025
"3360",35.6,6.88551947363759e-07,2.59026325008251e-09,4.85824212442273e-18,8.52336271552272e-22,1e-06,0.025
"3361",35.7,6.62069180159988e-07,2.4906378645229e-09,4.49214296036477e-18,7.8810735402218e-22,1e-06,0.025
"3362",35.8,6.36604980925404e-07,2.39484421552391e-09,4.15375534205523e-18,7.28740189765022e-22,1e-06,0.025
"3363",35.9,6.12120173968898e-07,2.30273492926052e-09,3.84093107548365e-18,6.73857894899278e-22,1e-06,0.025
"3364",36,5.8857709035671e-07,2.21416830008379e-09,3.55171325390676e-18,6.23117146203217e-22,1e-06,0.025
"3365",36.1,5.65939509960225e-07,2.12900807251772e-09,3.28430719755479e-18,5.76203082252147e-22,1e-06,0.025
"3366",36.2,5.44172605732697e-07,2.04712323164031e-09,3.03706090174082e-18,5.3282587296585e-22,1e-06,0.025
"3367",36.3,5.23242890129176e-07,1.96838780152688e-09,2.8084506175653e-18,4.92718189746957e-22,1e-06,0.025
"3368",36.4,5.03118163587212e-07,1.89268065144521e-09,2.59706934898486e-18,4.55633187330948e-22,1e-06,0.025
"3369",36.5,4.83767464989059e-07,1.81988530950455e-09,2.40161713183024e-18,4.21342798294048e-22,1e-06,0.025
"3370",36.6,4.65161024029194e-07,1.74988978347184e-09,2.22089250319577e-18,3.89636236416679e-22,1e-06,0.025
"3371",36.7,4.47270215413846e-07,1.68258638847938e-09,2.05378484285199e-18,3.60318653043382e-22,1e-06,0.025
"3372",36.8,4.30067514822078e-07,1.61787158135896e-09,1.89926740663648e-18,3.332099148481e-22,1e-06,0.025
"3373",36.9,4.13526456560684e-07,1.55564580134765e-09,1.75639094249708e-18,3.08143483822633e-22,1e-06,0.025
"3374",37,3.97621592847729e-07,1.49581331692015e-09,1.62427781667372e-18,2.84965386765456e-22,1e-06,0.025
"3375",37.1,3.82328454662229e-07,1.43828207851457e-09,1.5004147021646e-18,2.63234738986108e-22,1e-06,0.025
"3376",37.2,3.67623514099231e-07,1.38296357691344e-09,1.38582428768413e-18,2.43130850939873e-22,1e-06,0.025
"3377",37.3,3.53484148173205e-07,1.32977270708214e-09,1.28065289086026e-18,2.24679419362869e-22,1e-06,0.025
"3378",37.4,3.39888604013505e-07,1.27862763724132e-09,1.18379995190343e-18,2.07687401762358e-22,1e-06,0.025
"3379",37.5,3.26815965398353e-07,1.22944968297235e-09,1.09444305571496e-18,1.92010506083101e-22,1e-06,0.025
"3380",37.6,3.14246120576039e-07,1.1821631861661e-09,1.01191937434144e-18,1.77532441684296e-22,1e-06,0.025
"3381",37.7,3.02159731323767e-07,1.13669539862744e-09,9.35664846512302e-19,1.64154247303889e-22,1e-06,0.025
"3382",37.8,2.90538203196537e-07,1.09297637015646e-09,8.65182339095924e-19,1.51788704451053e-22,1e-06,0.025
"3383",37.9,2.79363656920315e-07,1.05093884093415e-09,8.00024405802505e-19,1.40357312164678e-22,1e-06,0.025
"3384",38,2.68618900885446e-07,1.01051813804703e-09,7.3978344351102e-19,1.29788559823635e-22,1e-06,0.025
"3385",38.1,2.58287404698037e-07,9.71652075991593e-10,6.84085639306186e-19,1.20016865105631e-22,1e-06,0.025
"3386",38.2,2.48353273748573e-07,9.34280861005366e-10,6.3258689801826e-19,1.10981859458783e-22,1e-06,0.025
"3387",38.3,2.38801224758672e-07,8.98346999077546e-10,5.84969838830019e-19,1.02627861157103e-22,1e-06,0.025
"3388",38.4,2.29616562268354e-07,8.63795207497628e-10,5.40941399332777e-19,9.49034549403023e-23,1e-06,0.025
"3389",38.5,2.20785156027638e-07,8.30572329805959e-10,5.00230810744472e-19,8.77611367770976e-23,1e-06,0.025
"3390",38.6,2.12293419257694e-07,7.98627254015381e-10,4.62587821070175e-19,8.11570021310236e-23,1e-06,0.025
"3391",38.7,2.04128287748109e-07,7.67910833978177e-10,4.27781099896386e-19,7.50504660938981e-23,1e-06,0.025
"3392",38.8,1.96277199758102e-07,7.38375813777302e-10,3.95596787317474e-19,6.94040088068094e-23,1e-06,0.025
"3393",38.9,1.88728076690768e-07,7.0997675502563e-10,3.65837164222822e-19,6.41829421731769e-23,1e-06,0.025
"3394",39,1.81469304510621e-07,6.82669966961349e-10,3.38319428840812e-19,5.93551952138495e-23,1e-06,0.025
"3395",39.1,1.74489715875732e-07,6.56413439232879e-10,3.12520081953396e-19,5.48289363483999e-23,1e-06,0.025
"3396",39.2,1.67778572957501e-07,6.31166777265656e-10,2.88652138721487e-19,5.06415140338395e-23,1e-06,0.025
"3397",39.3,1.61325550920732e-07,6.06891140118697e-10,2.66746075552134e-19,4.67982806272323e-23,1e-06,0.025
"3398",39.4,1.55120722039216e-07,5.835491807302e-10,2.46572657586023e-19,4.32590274374346e-23,1e-06,0.025
"3399",39.5,1.49154540422367e-07,5.61104988460418e-10,2.27960584544169e-19,3.99936999708484e-23,1e-06,0.025
"3400",39.6,1.43417827329235e-07,5.39524033844897e-10,2.10771796453141e-19,3.69780761307785e-23,1e-06,0.025
"3401",39.7,1.37901757047373e-07,5.18773115472589e-10,1.94888805389826e-19,3.41915433459422e-23,1e-06,0.025
"3402",39.8,1.32597843314807e-07,4.98820308907081e-10,1.80208063851225e-19,3.16159349395161e-23,1e-06,0.025
"3403",39.9,1.27497926264259e-07,4.79634917572387e-10,1.66636373575349e-19,2.92349000034535e-23,1e-06,0.025
"3404",40,1.22594159869497e-07,4.61187425527728e-10,1.54088835208507e-19,2.70335436431806e-23,1e-06,0.025
"3405",40.1,1.17878999874529e-07,4.43449452058654e-10,1.42487587537181e-19,2.49982057656655e-23,1e-06,0.025
"3406",40.2,1.13345192187057e-07,4.26393708014654e-10,1.31760959237622e-19,2.31163122507036e-23,1e-06,0.025
"3407",40.3,1.0898576171833e-07,4.09993953826071e-10,1.21842843300802e-19,2.13762651939385e-23,1e-06,0.025
"3408",40.4,1.04794001652244e-07,3.94224959135746e-10,1.12672197982583e-19,1.97673553502734e-23,1e-06,0.025
"3409",40.5,1.00763463127159e-07,3.79062463983273e-10,1.04192625063038e-19,1.82796881418201e-23,1e-06,0.025
"3410",40.6,9.68879453145755e-08,3.64483141482168e-10,9.63519997495667e-20,1.69041187269638e-23,1e-06,0.025
"3411",40.7,9.31614858793966e-08,3.50464561932514e-10,8.91021384124368e-20,1.56321937071261e-23,1e-06,0.025
"3412",40.8,8.95783518071075e-08,3.36985158313893e-10,8.23984963415333e-20,1.44560981006541e-23,1e-06,0.025
"3413",40.9,8.61330305837511e-08,3.24024193105487e-10,7.61998907812781e-20,1.33686067516259e-23,1e-06,0.025
"3414",41,8.28202217151381e-08,3.11561726382343e-10,7.04682460977357e-20,1.23630396215971e-23,1e-06,0.025
"3415",41.1,7.96348285722542e-08,2.9957858513864e-10,6.50945230623225e-20,1.14202691849779e-23,1e-06,0.025
"3416",41.2,7.65719505502561e-08,2.88056333790987e-10,6.01230904326249e-20,1.05480747220239e-23,1e-06,0.025
"3417",41.3,7.36268755291024e-08,2.76977245816021e-10,5.55602961163767e-20,9.74757107113228e-24,1e-06,0.025
"3418",41.4,7.07950726241453e-08,2.66324276478906e-10,5.13583929717068e-20,9.0103831968211e-24,1e-06,0.025
"3419",41.5,6.80721852155316e-08,2.5608103661078e-10,4.74817010043417e-20,8.33025107332836e-24,1e-06,0.025
"3420",41.6,6.54540242457092e-08,2.46231767394736e-10,4.39014638168372e-20,7.7021295002083e-24,1e-06,0.025
"3421",41.7,6.2936561774725e-08,2.36761316121566e-10,4.0593209947786e-20,7.12172510219906e-24,1e-06,0.025
"3422",41.8,6.0515924783393e-08,2.27655112877974e-10,3.75353715748192e-20,6.58525395745399e-24,1e-06,0.025
"3423",41.9,5.81883892148037e-08,2.18899148131391e-10,3.47085365107389e-20,6.08931034915953e-24,1e-06,0.025
"3424",42,5.59503742450056e-08,2.10479951176911e-10,3.20950211413195e-20,5.63079183238373e-24,1e-06,0.025
"3425",42.1,5.3798436774045e-08,2.02384569413186e-10,2.96786078208884e-20,5.20685315801433e-24,1e-06,0.025
"3426",42.2,5.17292661288899e-08,1.94600548415403e-10,2.74443681909012e-20,4.81487527333991e-24,1e-06,0.025
"3427",42.3,4.97396789700864e-08,1.87115912774681e-10,2.53785328793914e-20,4.4524424608524e-24,1e-06,0.025
"3428",42.4,4.78266143943132e-08,1.79919147674406e-10,2.3468387554263e-20,4.11732410115216e-24,1e-06,0.025
"3429",42.5,4.59871292253002e-08,1.72999181175178e-10,2.17021850792459e-20,3.80745926120026e-24,1e-06,0.025
"3430",42.6,4.42183934858641e-08,1.66345367181092e-10,2.00690684267029e-20,3.52094316990407e-24,1e-06,0.025
"3431",42.7,4.25176860440983e-08,1.5994746906117e-10,1.85590014705216e-20,3.25601507626415e-24,1e-06,0.025
"3432",42.8,4.08823904270154e-08,1.5379564390073e-10,1.71627060321051e-20,3.01104720460702e-24,1e-06,0.025
"3433",42.9,3.93099907952047e-08,1.47880427358472e-10,1.58716041915336e-20,2.78453463356358e-24,1e-06,0.025
"3434",43,3.77980680723097e-08,1.42192719105982e-10,1.46777652086224e-20,2.57508598382246e-24,1e-06,0.025
"3435",43.1,3.6344296223369e-08,1.36723768827188e-10,1.35584773992676e-20,2.3787172000622e-24,1e-06,0.025
"3436",43.2,3.49464386763092e-08,1.31465162756536e-10,1.25229822925838e-20,2.19704862165858e-24,1e-06,0.025
"3437",43.3,3.36023448810593e-08,1.2640881073464e-10,1.15726020886479e-20,2.0303124573135e-24,1e-06,0.025
"3438",43.4,3.23099470010114e-08,1.21546933761881e-10,1.06973915777712e-20,1.87676427833963e-24,1e-06,0.025
"3439",43.5,3.10672567317348e-08,1.16872052030768e-10,9.88991900578907e-21,1.73510018955772e-24,1e-06,0.025
"3440",43.6,2.98723622420456e-08,1.12376973418559e-10,9.14419472841907e-21,1.60426933068315e-24,1e-06,0.025
"3441",43.7,2.87234252327292e-08,1.0805478242248e-10,8.45512160693539e-21,1.48337743843724e-24,1e-06,0.025
"3442",43.8,2.76186781083866e-08,1.03898829520497e-10,7.81820729903373e-21,1.37163636314512e-24,1e-06,0.025
"3443",43.9,2.65564212580573e-08,9.99027209413044e-11,7.2294084577629e-21,1.26833673112549e-24,1e-06,0.025
"3444",44,2.55350204404332e-08,9.60603088277656e-11,6.6850417791128e-21,1.17283233693e-24,1e-06,0.025
"3445",44.1,2.45529042696407e-08,9.23656817786812e-11,6.18172930436859e-21,1.08453054620046e-24,1e-06,0.025
"3446",44.2,2.36085617977251e-08,8.88131557543408e-11,5.71636161928968e-21,1.00288583882668e-24,1e-06,0.025
"3447",44.3,2.2700540190114e-08,8.53972653318559e-11,5.28607071392082e-21,9.27395047207494e-25,1e-06,0.025
"3448",44.4,2.18274424904881e-08,8.21127552968271e-11,4.88820833162202e-21,8.57593557661914e-25,1e-06,0.025
"3449",44.5,2.09879254716172e-08,7.89545725584091e-11,4.52032767210866e-21,7.93052100329578e-25,1e-06,0.025
"3450",44.6,2.01806975688568e-08,7.59178583753322e-11,4.18016733502666e-21,7.33373932182175e-25,1e-06,0.025
"3451",44.7,1.94045168931259e-08,7.29979408809252e-11,3.86563690486417e-21,6.78192308007403e-25,1e-06,0.025
"3452",44.8,1.86581893203077e-08,7.01903278956351e-11,3.57480383831589e-21,6.27168179904049e-25,1e-06,0.025
"3453",44.9,1.79405666541366e-08,6.74907000159882e-11,3.30588144832523e-21,5.79988089183243e-25,1e-06,0.025
"3454",45,1.72505448597415e-08,6.48949039693613e-11,3.05721784831821e-21,5.36362226728776e-25,1e-06,0.025
"3455",45.1,1.65870623651396e-08,6.23989462244418e-11,2.82408244249695e-21,4.9546075732121e-25,1e-06,0.025
"3456",45.2,1.59490984280266e-08,5.99989868470654e-11,2.60840014051383e-21,4.57621179968117e-25,1e-06,0.025
"3457",45.3,1.53356715654175e-08,5.7691333592805e-11,2.4104463422408e-21,4.22891861212408e-25,1e-06,0.025
"3458",45.4,1.47458380436777e-08,5.54724362266519e-11,2.22814956911705e-21,3.90909455610418e-25,1e-06,0.025
"3459",45.5,1.41786904266199e-08,5.33388810610616e-11,2.05996186793117e-21,3.61402376039474e-25,1e-06,0.025
