"","time","P","V","Pv","I","gamma_out","lambda_out"
"98",9.7,0.0206513001947682,7.56893677482301e-05,4.24194117582269e-09,7.44211308364582e-13,2.5e-07,0.025
"99",9.8,0.0198415534602955,7.278770562649e-05,3.9195247180317e-09,6.87646178127893e-13,2.5e-07,0.025
"100",9.9,0.0190635571730898,6.99948674877062e-05,3.62148350576832e-09,6.35357469716799e-13,2.5e-07,0.025
"101",10,0.0183160663936062,6.73069568465102e-05,3.34598940532066e-09,5.87024453252979e-13,2.5e-07,0.025
"102",10.1,0.0175978849960822,6.4720202266913e-05,3.09134973234244e-09,5.42350162244084e-13,2.5e-07,0.025
"103",10.2,0.0169078637545954,6.22309545358541e-05,2.85599740523052e-09,5.01059666081987e-13,2.5e-07,0.025
"104",10.3,0.0162448985041625,5.98356837918606e-05,2.63848180255509e-09,4.62898466060273e-13,2.5e-07,0.025
"105",10.4,0.0156079283739387,5.75309766223152e-05,2.43746024362e-09,4.27631000717388e-13,2.5e-07,0.025
"106",10.5,0.0149959340896878,5.53135331413462e-05,2.25169008819367e-09,3.95039259801302e-13,2.5e-07,0.025
"107",10.6,0.0144079363428111,5.31801640591058e-05,2.0800214036099e-09,3.64921497780892e-13,2.5e-07,0.025
"108",10.7,0.0138429942233227,5.11277877520254e-05,1.92139015391587e-09,3.37091038941425e-13,2.5e-07,0.025
"109",10.8,0.0133002037142644,4.91534273425614e-05,1.77481187337459e-09,3.1137516745743e-13,2.5e-07,0.025
"110",10.9,0.0127786962451536,4.72542077959696e-05,1.63937579549728e-09,2.87614097383639e-13,2.5e-07,0.025
"111",11,0.0122776373021467,4.54273530407485e-05,1.51423940847394e-09,2.65660017453806e-13,2.5e-07,0.025
"112",11.1,0.0117962250926961,4.36701831185872e-05,1.39862340523113e-09,2.45376205113352e-13,2.5e-07,0.025
"113",11.2,0.0113336892625651,4.19801113689154e-05,1.29180699849646e-09,2.26636204589109e-13,2.5e-07,0.025
"114",11.3,0.010889289663145,4.03546416524823e-05,1.19312357593926e-09,2.09323064622353e-13,2.5e-07,0.025
"115",11.4,0.0104623151671056,3.87913656177846e-05,1.10195667279155e-09,1.93328631900943e-13,2.5e-07,0.025
"116",11.5,0.0100520825304818,3.72879600136104e-05,1.0177362393963e-09,1.78552896233813e-13,2.5e-07,0.025
"117",11.6,0.0096579352993762,3.58421840504662e-05,9.39935181852422e-10,1.64903383637855e-13,2.5e-07,0.025
"118",11.7,0.00927924275952941,3.4451876813203e-05,8.68066156082729e-10,1.5229459388557e-13,2.5e-07,0.025
"119",11.8,0.00891539892707568,3.31149547267496e-05,8.01678597653637e-10,1.40647479413261e-13,2.5e-07,0.025
"120",11.9,0.0085658215788705,3.18294090764908e-05,7.40355970655944e-10,1.29888962661549e-13,2.5e-07,0.025
"121",12,0.00822995132083795,3.05933035844976e-05,6.83713219648991e-10,1.19951489041551e-13,2.5e-07,0.025
"122",12.1,0.00790725069284722,2.9404772042519e-05,6.31394409217021e-10,1.10772612815979e-13,2.5e-07,0.025
