,parameter,equilibrium,nature,complex_eigenvalues,resilience,reactivity,real_eigen_zero,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4
56,5.60E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999944
57,5.70E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999943
58,5.80E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999942
59,5.90E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999941
60,6.00E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799994
61,6.10E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999939
62,6.20E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999938
63,6.30E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999937
64,6.40E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999936
65,6.50E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999935
66,6.60E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999934
67,6.70E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999933
68,6.80E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999932
69,6.90E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999931
70,7.00E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799993
71,7.10E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999929
72,7.20E-09,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999928
